Description,Rate,Titles,Vote_count,Year
Comedia. Drama. Romance. Amistad. Pobreza. Pintura. Comedia dramática,"7,6",La vida de bohemia ,2.348 votos,1992
Drama. Musical. Enfermedad. Discapacidad. Película de culto. Crimen,"7,6",Bailar en la oscuridad ,47.248 votos,2000
Serie de TV. Drama. Miniserie de TV. Adolescencia,"7,6",La vida de Manon - 1ª Parte (Miniserie de TV),78 votos,2014
Drama. ,"7,6",Lugares comunes ,11.914 votos,2002
Drama. Drama romántico. Vejez. Enfermedad. Discapacidad,"7,6",Amor ,30.432 votos,2012
Romance. Drama. Amistad. Drama romántico. Nouvelle vague,"7,6",El amor después del mediodía ,2.116 votos,1972
Cine negro. ,"7,6",Sólo se vive una vez ,3.743 votos,1937
Drama. Música,"7,6",Despedidas ,10.320 votos,2008
Drama. Prostitución. Película de culto. Cine independiente USA,"7,6",Rostros (Faces) ,2.779 votos,1968
Drama. Romance. Drama romántico. Enfermedad,"7,6",Mi vida sin mí ,58.063 votos,2003
Drama. II Guerra Mundial,"7,6",El ejército de las sombras ,1.986 votos,1969
Documental. Vida rural,"7,6",Los espigadores y la espigadora ,3.610 votos,2000
Drama. Secuela. Telefilm,"7,6",Saraband (TV),5.295 votos,2003
Drama. Comedia. Basado en hechos reales. Drama sureño. Comedia dramática. Años 60. Racismo. Amistad. Buddy Film. Música. Navidad,"7,6",Green Book ,25.272 votos,2018
Drama. Familia. Años 30,"7,6",Quemado por el sol ,3.909 votos,1994
Drama. Comedia. Comedia dramática. Años 80. Años 90,"7,6","Good Bye, Lenin! ",74.744 votos,2003
Drama. Romance. Bolsa & Negocios. Drama psicológico,"7,6",El eclipse ,3.139 votos,1962
Drama. Spin-off. Crimen. Telefilm,"7,6",De la vida de las marionetas (TV),2.298 votos,1980
Documental. Dictadura chilena,"7,6",Nostalgia de la luz ,1.226 votos,2010
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"7,6",Érase una vez... la vida (Serie de TV),39.438 votos,1986
Serie de TV. Comedia. Sátira. Sitcom. Política,"7,6","Sí, primer ministro (Serie de TV)",709 votos,1986
Animación. Drama. Comedia. Alzheimer. Vejez. Familia. Discapacidad. Amistad. Animación para adultos. Comedia dramática. Cómic. Drama social,"7,6",Arrugas ,15.735 votos,2011
Ciencia ficción. Fantástico. Serie B. Película de culto,"7,6",El increíble hombre menguante ,12.761 votos,1957
Romance. Drama. Nouvelle vague. Drama romántico. Amistad. Años 1910-1919,"7,6",Jules y Jim ,11.343 votos,1961
Comedia. Romance. Bodas,"7,6","Gato negro, gato blanco ",17.156 votos,1998
Drama. Nazismo. Años 30,"7,6",La caída de los dioses ,4.413 votos,1969
Bélico. Drama. II Guerra Mundial,"7,6",El arpa birmana ,894 votos,1956
Drama. Comedia dramática. II Guerra Mundial. Ejército,"7,6",Todos a casa ,566 votos,1960
Documental. Guerra Civil Española. Documental sobre Historia,"7,6",Morir en Madrid ,885 votos,1963
Drama. Cine negro. Deporte. Boxeo. Película de culto,"7,6",Nadie puede vencerme ,1.622 votos,1949
Drama. Romance. Drama romántico. Adolescencia,"7,6",Un verano con Mónica ,3.987 votos,1953
Fantástico. Drama. Romance. Surrealismo,"7,6",Orfeo (Orphée) ,1.585 votos,1950
Drama. Biográfico. Enfermedad. Discapacidad. Pintura,"7,6",Mi pie izquierdo ,13.944 votos,1989
Animación. Ciencia ficción. Acción. Crimen. Robots. Animación para adultos. Película de culto. Manga. Cyberpunk. Thriller futurista. Internet / Informática,"7,6",Ghost in the Shell ,33.720 votos,1995
