Description,Rate,Titles,Year
Drama. Biográfico. Infancia. Mediometraje,"7,6",My Childhood ,1972
Drama. Comedia. Comedia dramática. Años 80. Años 90,"7,6","Good Bye, Lenin! ",2003
Drama. Romance. Bolsa & Negocios. Drama psicológico,"7,6",El eclipse ,1962
Drama. Spin-off. Crimen. Telefilm,"7,6",De la vida de las marionetas (TV),1980
Drama. Romance. Drama romántico,"7,6",El amor de Jeanne Ney ,1927
Serie de TV. Drama. Miniserie de TV. Adolescencia,"7,6",La vida de Manon - 1ª Parte (Miniserie de TV),2014
Documental. Dictadura chilena,"7,6",Nostalgia de la luz ,2010
Romance. Drama. Nouvelle vague. Drama romántico. Amistad. Años 1910-1919,"7,6",Jules y Jim ,1961
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"7,6",Érase una vez... la vida (Serie de TV),1986
Animación. Drama. Comedia. Alzheimer. Vejez. Familia. Discapacidad. Amistad. Animación para adultos. Comedia dramática. Cómic. Drama social,"7,6",Arrugas ,2011
Bélico. Drama. II Guerra Mundial,"7,6",El arpa birmana ,1956
Ciencia ficción. Fantástico. Serie B. Película de culto,"7,6",El increíble hombre menguante ,1957
Comedia. Romance. Bodas,"7,6","Gato negro, gato blanco ",1998
Documental. Telefilm. Mediometraje. Inmigración,"7,6",To Kyma. Rescate en el Mar Egeo (TV),2016
Fantástico. Drama. Romance. Surrealismo,"7,6",Orfeo (Orphée) ,1950
Drama. Nazismo. Años 30,"7,6",La caída de los dioses ,1969
Drama. Neorrealismo. Trenes/Metros,"7,6",El ferroviario ,1956
Drama. Cine negro. Deporte. Boxeo. Película de culto,"7,6",Nadie puede vencerme ,1949
Drama. Comedia dramática. II Guerra Mundial. Ejército,"7,6",Todos a casa ,1960
Serie de TV. Comedia. Sátira. Sitcom. Política,"7,6","Sí, primer ministro (Serie de TV)",1986
Thriller. Drama. Crimen. Policíaco. Robos & Atracos. Neo-noir,"7,6",Hasta el último aliento ,1966
Drama. Biográfico. Enfermedad. Discapacidad. Pintura,"7,6",Mi pie izquierdo ,1989
Documental. Guerra Civil Española. Documental sobre Historia,"7,6",Morir en Madrid ,1963
Drama. Romance. Drama romántico. Adolescencia,"7,6",Un verano con Mónica ,1953
Drama. Secuela,"7,6",La venganza de Manon (El manantial de las colinas II) ,1986
Western. Romance. Drama. Drama romántico. Melodrama. Cine épico,"7,6",Duelo al sol ,1946
Drama. Neorrealismo. Vida rural. Pesca,"7,6","Stromboli, tierra de Dios ",1950
Animación. Ciencia ficción. Acción. Crimen. Robots. Animación para adultos. Película de culto. Manga. Cyberpunk. Thriller futurista. Internet / Informática,"7,6",Ghost in the Shell ,1995
Drama. Romance. Años 1900 (circa). Años 1910-1919,"7,6",Las mejores intenciones ,1992
Drama. Crimen,"7,6",No matarás ,1988
Acción. Drama. Policíaco. Crimen,"7,5",Tropa de élite ,2007
Ciencia ficción. Intriga. Drama. Película de culto. Cine independiente USA,"7,5",The Man from Earth ,2007
Aventuras. Fantástico. Acción. Cine mudo,"7,5",El ladrón de Bagdad ,1924
Documental. Documental sobre Historia. Holocausto. Nazismo. II Guerra Mundial,"7,5",El último de los injustos ,2013
Intriga. Thriller. Policíaco. Crimen. Amistad. Celos. Thriller psicológico,"7,5",A pleno sol ,1960
Comedia. Crimen. Comedia negra. Robos & Atracos. Vejez,"7,5",El quinteto de la muerte ,1955
Drama. Drama carcelario. Atletismo. Deporte. Free Cinema,"7,5",La soledad del corredor de fondo ,1962
Animación. Drama. Bélico. Biográfico. Animación para adultos. Guerra de Líbano,"7,5",Vals con Bashir ,2008
Documental. ,"7,5",La vida en un día ,2011
Aventuras. Drama. Aventuras marinas. Drama judicial. Ejército. Siglo XVIII. Guerras Napoleónicas,"7,5",La fragata infernal ,1962
Drama. Romance. Drama romántico. Melodrama,"7,5",La piel suave ,1964
Documental. Aventuras. Naturaleza. Animales. Pájaros,"7,5",El viaje del emperador ,2005
Documental. Documental sobre música. Biográfico,"7,5","Mercedes Sosa, la voz de Latinoamérica ",2013
Drama. Drogas,"7,5",Martín (Hache) ,1997
Fantástico. Romance. Drama. Cuentos,"7,5",La bella y la bestia ,1946
Drama. Drama psicológico. Nouvelle vague,"7,5",Cleo de 5 a 7 ,1962
Documental. ,"7,5",Frágil equilibrio ,2016
Drama. Thriller. Vida rural. Venganza. Película de culto,"7,5",Perros de paja ,1971
Aventuras. Acción. Drama. Bélico. Remake,"7,5",Beau Geste ,1939
Drama. Celos. Crimen. Drama social,"7,5",La calle ,1931
Documental. ,"7,5",Memoria del saqueo ,2004
Drama. Biográfico. Siglo XIX. Histórico,"7,5","Luis II de Baviera, el rey loco ",1972
Documental. Enfermedad. Documental sobre música. Biográfico,"7,5",Jason Becker: aún sigo vivo ,2012
Comedia. Drama. Romance. Comedia romántica. Road Movie,"7,5",Dos en la carretera ,1967
Drama. Romance. Melodrama. Cine mudo,"7,5",Lirios rotos ,1919
Drama. ,"7,5",Cristo se paró en Éboli ,1979
Drama. Adolescencia. Secuela,"7,5",My Way Home ,1978
