Description,Rate,Titles,Year
Terror. Ciencia ficción. Monstruos. Película de culto,"7,5",El doctor Frankenstein ,1931
Drama. Bélico. Años 90. Vida rural,"7,5",Mandarinas ,2013
Documental. Documental sobre música. Biográfico,"7,5",Marley ,2012
Drama. Familia. Adolescencia,"7,5",El regreso ,2003
Documental. Documental sobre música. Jazz,"7,5",A Film About Kids and Music. Sant Andreu Jazz Band ,2012
Aventuras. Edad Media. Siglo XII,"7,5",El halcón y la flecha ,1950
Drama. Thriller. Drama psicológico. Años 30. Vida rural (Norteamérica). Película de culto,"7,5",Dogville ,2003
Thriller. Intriga. Política. Ejército. Guerra Fría,"7,5",Siete días de mayo ,1964
Drama. Trabajo/empleo. Melodrama. Comedia dramática,"7,5",Nubes pasajeras ,1996
Documental. Aventuras. Caza,"7,5",Happy People: A Year in the Taiga ,2010
Thriller. Drama. Drama carcelario. Crimen,"7,5",Un profeta ,2009
Comedia. Sátira. Secuela,"7,5",Playtime ,1967
Terror. Thriller. Crimen. Asesinos en serie. Película de culto,"7,5",Los ojos sin rostro ,1960
Intriga. Crimen. Policíaco. Años 60,"7,5",Chacal ,1973
Drama. Romance. Discapacidad. Religión. Vida rural. Drama romántico. Película de culto,"7,5",Rompiendo las olas ,1996
Drama. Free Cinema. Años 40,"7,5",Un lugar en la cumbre ,1959
Serie de TV. Intriga. Sherlock Holmes,"7,5",Las aventuras de Sherlock Holmes (Serie de TV),1984
Documental. Documental sobre música,"7,5",When You're Strange ,2009
Drama. Romance. Drama romántico. Holocausto nuclear. Nouvelle vague,"7,5","Hiroshima, mon amour ",1959
Comedia. Drama. Película de episodios. Cine independiente USA,"7,5",Noche en la Tierra ,1991
Drama. Romance. Siglo XIX. Prostitución. Drama romántico,"7,5",La dama de las camelias ,1936
Drama. Comedia. Road Movie,"7,5",El verano de Kikujiro ,1999
Drama. Thriller. Circo. Cine mudo,"7,5",El que recibe el bofetón ,1924
Drama. Inmigración,"7,5",Contra la pared ,2004
Ciencia ficción. Acción. Secuela. Robots. Viajes en el tiempo. Película de culto,"7,5",Terminator 2: El juicio final ,1991
Drama. Colegios & Universidad. Enseñanza,"7,5",La versión Browning ,1951
Documental. Documental sobre música,"7,5",Last Days Here ,2011
Documental. Documental sobre cine,"7,5",El ambulante ,2009
Drama. Cine dentro del cine. Nouvelle vague. Celos. Literatura,"7,5",El desprecio ,1963
Drama. Romance. Thriller. Crimen,"7,5",El muelle de las brumas ,1938
Drama. Animales. Caballos. Amistad. Drama psicológico. Drama romántico,"7,5",Vidas rebeldes ,1961
Drama. Romance. Melodrama. Celos,"7,5",Te querré siempre ,1954
Documental. Documental sobre música. Biográfico,"7,5",George Harrison: Living in the Material World ,2011
Drama. Melodrama. Trenes/Metros,"7,5",La bestia humana ,1938
Drama. Melodrama,"7,5",Toni ,1935
Drama. Familia. Distopía. Adolescencia,"7,5",Mommy ,2014
Documental. Documental sobre cine. Biográfico,"7,5",Harry Dean Stanton: Partly Fiction ,2012
Drama. Infancia. Secuela. Mediometraje,"7,5",My Ain Folk ,1973
Romance. Comedia. Comedia romántica. Comedia sofisticada. Pesca,"7,5",Su juego favorito ,1964
Drama. Inmigración. Adopción,"7,5",Vete y vive ,2005
Drama. Romance. Drama de época. Siglo XIX,"7,5",Cadenas rotas ,1946
Romance. Drama. Drama romántico. Adolescencia. Erótico. Homosexualidad. Cómic,"7,5",La vida de Adèle ,2013
Documental. Biográfico. Literatura,"7,5",José y Pilar ,2010
Serie de TV. Drama. Bélico. Miniserie de TV. II Guerra Mundial. Nazismo. Holocausto,"7,5",Holocausto (Miniserie de TV),1978
Documental. Abusos sexuales,"7,5",La guerra contra las mujeres ,2013
Documental. Documental sobre música,"7,5",Martin Scorsese presenta the Blues - Nostalgia del hogar ,2003
Drama. Romance. Drama psicológico,"7,5",El rayo verde ,1986
Comedia. Drama. Comedia dramática. Literatura. Vejez,"7,5",La gran belleza ,2013
Drama. Religión. Drama psicológico,"7,5",Narciso Negro ,1947
Serie de TV. Animación. Comedia. Amistad. Animación para adultos. Serie Online,"7,5",Arroz pasado (Arròs covat) (Serie de TV),2009
Comedia. Drama. Enfermedad. Amistad. Familia. Secuela,"7,5",Las invasiones bárbaras ,2003
Comedia. Drama. Infancia. Enseñanza. Colegios & Universidad. Vida rural. Historias cruzadas,"7,5",La piel dura ,1976
Documental. Trabajo/empleo,"7,5",Workingman's Death ,2005
Drama. Música,"7,5",Tres colores: Azul ,1993
Drama. Comedia. Bélico. Ejército. Amistad. Años 1900 (circa). I Guerra Mundial. II Guerra Mundial,"7,5",Vida y muerte del Coronel Blimp ,1943
Drama. Romance. Transexualidad / transgénero. Años 80. Años 90. Drama romántico,"7,4",Laurence Anyways ,2012
Romance. Drama. Drama romántico. Amistad,"7,4",Cuento de verano ,1996
Serie de TV. Comedia. Amistad. Sitcom,"7,4",Plats bruts (Platos sucios) (Serie de TV),1999
Comedia. Romance. Años 1900 (circa). Vida rural. Drama de época. Celos. Historias cruzadas. Comedia romántica,"7,4",Sonrisas de una noche de verano ,1955
Terror. Drama. Cine mudo. Sobrenatural,"7,4",La caída de la casa Usher (El hundimiento de la casa Usher) ,1928
Drama. Drama social,"7,4",Los bajos fondos ,1936
Drama. ,"7,4",Hamlet ,1948
Cine negro. Intriga. Thriller. Drama. Nazismo. Thriller psicológico,"7,4",El extraño ,1946
Comedia. ,"7,4",Las vacaciones del señor Hulot ,1953
Comedia. Comedia romántica. Comedia sofisticada,"7,4",La octava mujer de Barba Azul ,1938
Documental. Documental sobre cine,"7,4",Guía ideológica para pervertidos ,2012
Terror. Fantástico. Sobrenatural. Vampiros. Expresionismo alemán,"7,4","Vampyr, la bruja vampiro ",1932
Drama. Bélico. Neorrealismo. II Guerra Mundial. Ejército. Película de episodios,"7,4",Paisà (Camarada) ,1946
Drama. Infancia. Pobreza. Siglo XIX,"7,4",Oliver Twist ,1948
Drama. Basado en hechos reales. Terrorismo. IRA. Años 70,"7,4",Bloody Sunday (Domingo sangriento) ,2002
Acción. Drama. Thriller. Road Movie. Drama carcelario. Robos & Atracos. Neo-noir. Crimen. Venganza,"7,4",La huida ,1972
Cine negro. Thriller. Intriga. Serie B. Película de culto,"7,4",Detour (El desvío) ,1945
Documental. Años 60. Años 70,"7,4",The Black Power Mixtape 1967–1975 ,2011
Drama. Edad Media. Siglo XII,"7,4",El león en invierno ,1968
Drama. Amistad. Drama sureño. Años 30. Racismo. Vida rural (Norteamérica),"7,4",Tomates verdes fritos ,1991
Drama. II Guerra Mundial. Drama carcelario,"7,4",La colina de los hombres perdidos ,1965
Romance. Drama. Drama romántico,"7,4",Un corazón en invierno ,1992
Drama. Comedia. Película de episodios,"7,4",Roma ,1972
Intriga. Cine negro. Crimen. Periodismo. Asesinos en serie,"7,4",Mientras Nueva York duerme ,1956
Drama. Comedia. Romance. Comedia negra. Religión. Basado en hechos reales. Historias cruzadas. Sectas,"7,4",Exposición de amor ,2008
Documental. Infancia,"7,4",Ganar al viento ,2016
Animación. Ciencia ficción. Drama. Drama psicológico. Animación para adultos. Película de culto,"7,4",El planeta salvaje ,1973
Western. ,"7,4",El forastero ,1940
Drama. Melodrama,"7,4",Desengaño ,1936
Drama. Dictadura chilena. Años 70,"7,4",Machuca ,2004
Documental. Documental sobre Historia. Política. Dictadura chilena,"7,4",Salvador Allende ,2004
Romance. Drama. Drama romántico. Melodrama,"7,4",Tú y yo ,1939
Drama. Celos,"7,4",Ese oscuro objeto del deseo ,1977
Documental. ,"7,4",Man on Wire ,2008
Drama. Fantástico. ,"7,4",El cielo sobre Berlín ,1987
Intriga. Cine negro. Drama psicológico. Thriller psicológico. Neo-noir. Surrealismo. Película de culto. Cine independiente USA,"7,4",Carretera perdida ,1997
Drama. Bélico. Romance. II Guerra Mundial. Amistad,"7,4",Cenizas y diamantes ,1958
Western. Años 50. Amistad. Caballos,"7,4",Los valientes andan solos ,1962
Drama. Romance. Melodrama,"7,4",Cumbres borrascosas ,1939
Documental. Documental sobre música,"7,4",Joy Division ,2007
Drama. Drama social. Trabajo/empleo,"7,4",Los lunes al sol ,2002
Drama. Drama social. Años 1900 (circa). Pobreza. Inmigración,"7,4",Pelle el conquistador ,1987
Documental. ,"7,4",Informe general sobre unas cuestiones de interés para una proyección pública ,1977
Aventuras. Vikingos. Siglo IX. Edad Media,"7,4",Los vikingos ,1958
Drama. Discapacidad. Basado en hechos reales. Biográfico,"7,4",La escafandra y la mariposa ,2007
Thriller. Drama. Crimen. Asesinos en serie,"7,4",The Chaser ,2008
Drama. Romance. Amistad. Drama romántico,"7,4",Cuento de otoño ,1998
Thriller. Thriller psicológico. Secuestros / Desapariciones. Asesinos en serie. Película de culto,"7,4",Funny Games  ,1997
Intriga. Thriller. Comedia. Trenes/Metros. Thriller psicológico. Espionaje. Secuestros / Desapariciones,"7,4",Alarma en el expreso ,1938
Documental. Biográfico. Familia,"7,4",Stories We Tell ,2012
Drama. Siglo XIX. Cocina,"7,4",El festín de Babette ,1987
Western. ,"7,4",El árbol del ahorcado ,1959
Comedia. Drama. Romance. Amistad. Vida rural. Años 50. Literatura,"7,4",El cartero (y Pablo Neruda) ,1994
Documental. Documental sobre música,"7,4",Venid a las cloacas: La historia de la Banda Trapera del Río ,2010
Documental. Documental sobre música,"7,4",Sound City ,2013
Drama. Romance. Drama romántico. Siglo XIX. Música. Discapacidad,"7,4",El piano ,1993
Drama. Histórico. Biográfico. Años 30. Basado en hechos reales,"7,4",El discurso del Rey ,2010
Drama. Siglo XIX. Magia,"7,4",El rostro ,1958
Acción. Drama. Policíaco. Crimen. Secuela,"7,4",Tropa de élite 2 ,2010
Cine negro. Drama. Años 20,"7,4",El extraño amor de Martha Ivers ,1946
Cine negro. Drama. Romance. Drama romántico. Años 30,"7,4",Los amantes de la noche ,1948
Cine negro. Thriller. Crimen. Policíaco,"7,4",La ciudad desnuda ,1948
Musical. Drama. Drama de época. Siglo XVII. Música,"7,4",Todas las mañanas del mundo ,1991
Western. Drama. ,"7,4",Encubridora ,1952
Comedia. Romance. Comedia romántica,"7,4",Ariane ,1957
Comedia. Comedia romántica,"7,4",¿Qué ocurrió entre mi padre y tu madre? ,1972
Drama. ,"7,4",Mi cena con André ,1981
Drama. Romance. Años 60. Adolescencia. Amistad. Homosexualidad. Vida rural. Colegios & Universidad,"7,4",Los juncos salvajes ,1994
Drama. Cine mudo. Familia,"7,4",El amo de la casa ,1925
Documental. Basado en hechos reales. Abusos sexuales. Años 90,"7,4",De niños ,2003
Drama. Edad Media. Siglo XV,"7,4","Esmeralda, la zíngara ",1939
Drama. Surrealismo. Drama romántico. Prostitución,"7,4",El lado oscuro del corazón ,1992
Documental. ,"7,4",Sobre la marxa ,2013
Musical. Romance. Drama. Años 50. Melodrama. Drama romántico. Nouvelle vague,"7,4",Los paraguas de Cherburgo ,1964
Cine negro. Drama. Crimen. Policíaco. Mafia,"7,4",Sin conciencia ,1951
Drama. Basado en hechos reales. Policíaco. Crimen,"7,4",Serpico ,1973
Drama. Historias cruzadas,"7,4",Al otro lado ,2007
Drama. Familia. Vida rural,"7,4",Sueño de invierno (Winter Sleep) ,2014
Drama. Comedia. Surrealismo. Película de episodios,"7,4",El fantasma de la libertad ,1974
Comedia. Thriller. Nouvelle vague,"7,4",Banda aparte ,1964
Documental. Enfermedad. Biográfico,"7,4",¿Qué tienes debajo del sombrero? ,2006
Drama. Vida rural (Norteamérica). Caza,"7,4",Con él llegó el escándalo ,1960
Documental. Drogas,"7,4",The House I Live In ,2012
Documental. Dictadura chilena,"7,4",El botón de nácar ,2015
Documental. Discapacidad. Discapacidad auditiva,"7,4",El abrazo de los peces ,2011
Comedia. Crimen. Robos & Atracos,"7,4",Oro en barras ,1951
Documental. Pobreza,"7,4",La dignidad de los nadies ,2005
Drama. Crimen. Drama carcelario. Comedia dramática. Comedia negra,"7,4",Ariel ,1988
Drama. Música. Drama psicológico,"7,4",La doble vida de Verónica ,1991
Aventuras. Drama. Naturaleza,"7,4",El abrazo de la serpiente ,2015
Drama. Adolescencia. Película de culto. Bandas/pandillas callejeras,"7,3",La ley de la calle ,1983
Musical. Comedia. Romance. Baile. Siglo XIX,"7,3",French Cancan ,1955
Drama. Biográfico. Drama judicial. Drama carcelario. Basado en hechos reales,"7,3",¡Quiero vivir! ,1958
Comedia. Comedia sofisticada. Comedia romántica,"7,3",Una mujer para dos ,1933
Romance. Comedia. Comedia romántica. Secuela,"7,3",Besos robados ,1968
Drama. Basado en hechos reales. Biográfico. Esclavitud. Racismo. Siglo XIX. Histórico,"7,3",12 años de esclavitud ,2013
Drama. Musical. Biográfico. Años 70. Música,"7,3",Control ,2007
Documental. ,"7,3",India ,1959
Drama. Drama carcelario,"7,3",Fuerza bruta ,1947
Intriga. Thriller. Espionaje. Crimen,"7,3",39 escalones ,1935
Drama. Años 60. Años 70. Familia. Adolescencia. Música. Drogas. Homosexualidad,"7,3",C.R.A.Z.Y. ,2005
Thriller. Drama. Política. Años 50. Drama carcelario. Basado en hechos reales,"7,3",La confesión ,1970
Comedia. Romance. Fantástico. Comedia romántica. Viajes en el tiempo. Años 20,"7,3",Medianoche en París ,2011
Documental. Animales. Documental marino. Orcas,"7,3",Blackfish ,2013
Comedia. Comedia romántica,"7,3",Berlín Occidente ,1948
Drama. Ejército. I Guerra Mundial. Drama judicial,"7,3",Rey y Patria ,1964
Drama. Película de episodios,"7,3",Todos los niños invisibles ,2005
Drama. Comedia. Remake. Años 1900 (circa),"7,3",El sol siempre brilla en Kentucky ,1953
Drama. Televisión,"7,3",Un rostro en la multitud ,1957
Drama. Cine negro. Deporte. Boxeo,"7,3",El ídolo de barro ,1949
Aventuras. Aventuras marinas. Siglo XVII. Piratas. Capa y espada,"7,3",El capitán Blood ,1935
Drama. Drogas. Jazz,"7,3",El hombre del brazo de oro ,1955
Drama. ,"7,3",El violín ,2006
Drama. Secuela. Años 30. Esclavitud. Vida rural (Norteamérica),"7,3",Manderlay ,2005
Drama. Familia,"7,3",Still Walking (Caminando) ,2008
Documental. Drama social. Crisis económica 2008,"7,3","ReMine, el último movimiento obrero ",2014
Documental. Documental sobre música,"7,3",American Hardcore ,2006
Documental. Biográfico. Revolución Cubana,"7,3",Che: Un hombre nuevo ,2010
Drama. Discapacidad. Basado en hechos reales,"7,3",Life Feels Good ,2013
Documental. Documental sobre cine. Homosexualidad. Biográfico,"7,3",Yo soy Divine ,2013
Thriller. Intriga. Thriller psicológico. Crimen,"7,3",La conversación ,1974
Drama. Intriga. Amistad,"7,3",A propósito de Elly ,2009
Intriga. Drama. Drama psicológico. Siglo XIX,"7,3",Luz de gas ,1940
Aventuras. Aventuras marinas. Siglo XVIII. Remake,"7,3",Rebelión a bordo ,1962
Western. Ejército. Familia,"7,3",Río Grande ,1950
Animación. Fantástico. Terror. Animación para adultos. Cuentos. Surrealismo. Stop Motion. Película de culto,"7,3",Alice ,1988
Bélico. Drama. Guerra Civil Española. Histórico,"7,3",Tierra y libertad ,1995
Thriller. Drama. Espionaje. Crimen. Cine mudo,"7,3",Los espías ,1928
Drama. Religión. Basado en hechos reales,"7,3",Las hermanas de la Magdalena ,2002
Drama. Biográfico. Siglo XV. Religión. Histórico,"7,3",El proceso de Juana de Arco ,1962
Drama. Romance. Crimen. Drogas. Vejez. Neo-noir,"7,3",Atlantic City ,1980
Documental. Documental sobre música,"7,3",Oasis: Supersonic ,2016
Drama. II Guerra Mundial,"7,3",Un asunto de mujeres ,1988
Terror. Ciencia ficción. Fantástico. Venganza. Melodrama. Thriller psicológico,"7,3",Muñecos infernales ,1936
Terror. Thriller. Slasher. Asesinos en serie. Fotografía. Cine dentro del cine,"7,3",El fotógrafo del pánico ,1960
Drama. Romance. Melodrama. Siglo XIX,"7,3",Senso ,1954
Drama. Surrealismo. Sátira,"7,3",La edad de oro ,1930
Documental. Homosexualidad. Vejez,"7,3",Les invisibles ,2012
Documental. Biográfico,"7,3","Joana Biarnés, una entre todos ",2015
Drama. Romance. Cine independiente USA,"7,3",Buffalo '66 ,1998
Documental. Naturaleza. Documental marino,"7,3",Deep Blue (La película de Planeta Azul) ,2003
Intriga. Thriller. Cine negro. Asesinos en serie. Años 1910-1919. Thriller psicológico,"7,3",La escalera de caracol ,1945
Bélico. Drama. II Guerra Mundial,"7,3",Kanal ,1957
Drama. Comedia. Intriga. Comedia dramática. Enseñanza. Familia. Drama psicológico. Colegios & Universidad,"7,3",En la casa ,2012
Drama. Comedia. Película de episodios. Road Movie. Película de culto. Comedia dramática. Cine independiente USA,"7,3",Mystery Train ,1989
Comedia. Romance. Guerra de Bosnia. Años 90,"7,3",La vida es un milagro ,2004
Drama. Vida rural. Pobreza. Cine mudo,"7,3",Lo viejo y lo nuevo ,1929
Documental. Documental sobre música. Biográfico,"7,3",Joe Strummer: Vida y muerte de un cantante ,2007
Drama. Romance. ,"7,3",Un amor inmortal ,1961
Drama. Romance. Drama romántico. Historias cruzadas,"7,3",Dolls ,2002
Documental. Documental sobre música,"7,3",My Secret World - The Story of Sarah Records ,2014
Drama. Thriller. Romance. Conflicto árabe-israelí,"7,3",Omar ,2013
Drama. Drama de época. Años 1900 (circa),"7,3",El mensajero ,1970
Aventuras. Drama. Siglo XIX. Aventuras marinas. Animales,"7,3",Moby Dick ,1956
Aventuras. Drama. Romance. Drama de época. Siglo XVII. Capa y espada,"7,3",Cyrano de Bergerac ,1990
Drama. Romance. Cine mudo,"7,3",Una mujer de París ,1923
Drama. Circo,"7,3",Noche de circo ,1953
Documental. Documental sobre música,"7,3",Touch the Sound: A Sound Journey with Evelyn Glennie ,2004
Drama. Romance. Drama romántico. Revolución cultural china. Basado en hechos reales,"7,3",Amor bajo el espino blanco ,2010
Comedia. Drama. Siglo XIX,"7,3",El déspota ,1953
Documental. Animación. 3-D,"7,3",Pequeñas voces ,2010
Thriller. Drama. Crimen. Neo-noir. Road Movie. Película de culto,"7,3",El amigo americano ,1977
Drama. Crimen. Periodismo,"7,3",El cuarto poder ,1952
Documental. Documental sobre música. Discapacidad,"7,3",The Punk Syndrome ,2012
Documental. ,"7,3",Cómo cambiar el mundo ,2015
Documental. Documental sobre música. Conciertos,"7,3",Lou Reed Berlín ,2007
Serie de TV. Animación. Infantil. Histórico. Divulgativo/Educativo,"7,3",Érase una vez... el hombre (Serie de TV),1978
Drama. ,"7,3",Los edukadores ,2004
Drama. Romance. Comedia. Drama psicológico. Nouvelle vague,"7,3",La coleccionista ,1967
Documental. Documental sobre cine,"7,3",Tokio-Ga ,1985
Western. Crimen. Película de culto,"7,3",El hombre del oeste ,1958
Ciencia ficción. Drama. Fantástico. Romance. Película de culto,"7,3",Las vidas posibles de Mr. Nobody ,2009
Drama. Homosexualidad,"7,3",Muchachas de uniforme ,1931
Documental. Documental sobre música,"7,3",The Beatles: Eight Days a Week - The Touring Years ,2016
Documental. Feminismo,"7,3",Sonita ,2015
Bélico. Acción. Drama. Años 1910-1919. I Guerra Mundial. Aviones. Ejército. Amistad. Cine mudo,"7,3",Alas ,1927
Comedia. Vida rural,"7,3",Día de fiesta ,1949
Comedia. Drama. Comedia dramática. Discapacidad. Política,"7,3","Bienvenido, Mr. Chance ",1979
Romance. Drama. Drama romántico. Secuela. Cine independiente USA,"7,3",Antes del anochecer ,2013
Comedia. Comedia romántica. Comedia sofisticada,"7,3",Un marido rico ,1942
Documental. Discapacidad,"7,3","Yes, We Fuck! ",2015
Musical. Ópera. Siglo XVII,"7,3",Don Giovanni ,1979
Cine negro. Drama. Romance. Prostitución. Cine mudo,"7,3",Los muelles de Nueva York ,1928
Drama. Romance. Música. Drama romántico,"7,3",Once (Una Vez) ,2007
Intriga. Drama. Crimen. Años 60. Policíaco. Telefilm. Precuela,"7,3",Endeavour (TV),2012
Thriller. Drama. Robos & Atracos. Mafia,"7,3",No toquéis la pasta ,1954
Documental. Documental sobre música,"7,2",New York Doll ,2005
Serie de TV. Drama. Histórico. Vida rural,"7,2",The Village (Serie de TV),2013
Comedia. Drama. Drama social. Comedia dramática. Basado en hechos reales. Años 80. Homosexualidad,"7,2",Pride (Orgullo) ,2014
Drama. Infancia. Colegios & Universidad. Enseñanza. Drama social,"7,2",Conducta ,2014
Drama. Homosexualidad. Drama romántico. Vejez,"7,2",En 80 días ,2010
Drama. ,"7,2",Osama ,2003
Drama. Crimen,"7,2",El dinero ,1983
Comedia. Drama. Neorrealismo,"7,2",El techo ,1956
